gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
hern_axisrat,t12,mu,20.689655172413797,3.5680560152849585,1.0,1.0,False
hern_axisrat,t12,sigma,20.689655172413797,-10.53966983219212,-1.0,1.0,False
hern_axisrat,t12,skew,20.689655172413797,-2.2790535147817965,1.0,1.0,False
hern_axisrat,t12,kurtosis,20.689655172413797,4.707522091538981,1.0,1.0,False
hern_axisrat,t23,mu,20.689655172413797,0.6890798982981298,1.0,1.0,False
hern_axisrat,t23,sigma,20.689655172413797,0.28850811421724953,1.0,1.0,False
hern_axisrat,t23,skew,20.689655172413797,-34.4649026210556,1.0,1.0,False
hern_axisrat,t23,kurtosis,20.689655172413797,7.781852444047516,-1.0,1.0,False
hern_axisrat,t34,mu,20.689655172413797,-2.655625535127953,-1.0,1.0,False
hern_axisrat,t34,sigma,20.689655172413797,7.773658574885671,1.0,1.0,False
hern_axisrat,t34,skew,20.689655172413797,-15.35082542134105,1.0,1.0,False
hern_axisrat,t34,kurtosis,20.689655172413797,-40.594736084362424,-1.0,1.0,False
hern_axisrat,d2/d1,mu,20.689655172413797,2.4233658128816575,1.0,1.0,False
hern_axisrat,d2/d1,sigma,20.689655172413797,-45.14830485897263,-1.0,1.0,False
hern_axisrat,d2/d1,skew,20.689655172413797,-4.763324918237013,1.0,1.0,False
hern_axisrat,d2/d1,kurtosis,20.689655172413797,-98.52926559485599,-1.0,1.0,False
hern_axisrat,d3/d1,mu,20.689655172413797,1.594384837702701,1.0,1.0,False
hern_axisrat,d3/d1,sigma,20.689655172413797,-45.69639455731853,-1.0,1.0,False
hern_axisrat,d3/d1,skew,20.689655172413797,-14.1736992059151,1.0,1.0,False
hern_axisrat,d3/d1,kurtosis,20.689655172413797,-64.06253748573191,-1.0,1.0,False
hern_axisrat,d4/d1,mu,20.689655172413797,5.937326871559389,1.0,1.0,False
hern_axisrat,d4/d1,sigma,20.689655172413797,-52.64264989442196,-1.0,1.0,False
hern_axisrat,d4/d1,skew,20.689655172413797,-77.0970684021515,1.0,1.0,False
hern_axisrat,d4/d1,kurtosis,20.689655172413797,-136.1652921392175,-1.0,1.0,False
hern_axisrat,dt23,mu,20.689655172413797,-95.1663438547423,1.0,1.0,False
hern_axisrat,dt23,sigma,20.689655172413797,-46.43320242491365,-1.0,1.0,False
hern_axisrat,dt23,skew,20.689655172413797,-1691.877807095174,1.0,1.0,False
hern_axisrat,dt23,kurtosis,20.689655172413797,11188.381194843441,1.0,1.0,False
