gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
m1_theta,t12,mu,200.0,-1.2356076343702675,-1.0,1.0,False
m1_theta,t12,sigma,200.0,-20.255435309674205,-1.0,1.0,False
m1_theta,t12,skew,200.0,-40.25963084470155,-1.0,1.0,False
m1_theta,t12,kurtosis,200.0,-13.238946739143625,-1.0,1.0,False
m1_theta,t23,mu,200.0,-1.126846679563618,-1.0,1.0,False
m1_theta,t23,sigma,200.0,-2.851723689114131,-1.0,1.0,False
m1_theta,t23,skew,200.0,-37.24853745921751,1.0,1.0,False
m1_theta,t23,kurtosis,200.0,-8.846515990064372,1.0,1.0,False
m1_theta,t34,mu,200.0,-0.35377124047921915,-1.0,1.0,False
m1_theta,t34,sigma,200.0,2.4054881927749454,1.0,1.0,False
m1_theta,t34,skew,200.0,-5.693076385502754,1.0,1.0,False
m1_theta,t34,kurtosis,200.0,-32.05757832286926,-1.0,1.0,False
m1_theta,d2/d1,mu,200.0,-0.18504203213459183,-1.0,1.0,False
m1_theta,d2/d1,sigma,200.0,8.74121351506555,1.0,1.0,False
m1_theta,d2/d1,skew,200.0,-16.4870913105805,1.0,1.0,False
m1_theta,d2/d1,kurtosis,200.0,6.700879283648595,-1.0,1.0,False
m1_theta,d3/d1,mu,200.0,-0.14883566628317535,-1.0,1.0,False
m1_theta,d3/d1,sigma,200.0,4.800983900218718,1.0,1.0,False
m1_theta,d3/d1,skew,200.0,4.042393942078595,-1.0,1.0,False
m1_theta,d3/d1,kurtosis,200.0,-60.08741098999,1.0,1.0,False
m1_theta,d4/d1,mu,200.0,-0.14838794419638304,-1.0,1.0,False
m1_theta,d4/d1,sigma,200.0,0.619209189239516,1.0,1.0,False
m1_theta,d4/d1,skew,200.0,-3.1931266797571958,1.0,1.0,False
m1_theta,d4/d1,kurtosis,200.0,-1784.977042777956,-1.0,1.0,False
m1_theta,dt23,mu,200.0,-73.59073375658699,1.0,1.0,False
m1_theta,dt23,sigma,200.0,-58.775977820884215,-1.0,1.0,False
m1_theta,dt23,skew,200.0,76.50305078419831,-1.0,1.0,False
m1_theta,dt23,kurtosis,200.0,220.978989582376,1.0,1.0,False
