gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
nfw_axisrat_fit,t12,mu,20.689655172413797,14.472642128931664,1.0,1.0,False
nfw_axisrat_fit,t12,sigma,20.689655172413797,-13.385799682379176,-1.0,1.0,False
nfw_axisrat_fit,t12,skew,20.689655172413797,604.7017877689925,-1.0,1.0,False
nfw_axisrat_fit,t12,kurtosis,20.689655172413797,-132.80364211194555,1.0,1.0,False
nfw_axisrat_fit,t23,mu,20.689655172413797,39.19057910070535,1.0,1.0,False
nfw_axisrat_fit,t23,sigma,20.689655172413797,-23.492131339261775,-1.0,1.0,False
nfw_axisrat_fit,t23,skew,20.689655172413797,4318.1174135353,-1.0,1.0,False
nfw_axisrat_fit,t23,kurtosis,20.689655172413797,-23.80552509551474,1.0,1.0,False
nfw_axisrat_fit,t34,mu,20.689655172413797,0.9089028127982549,1.0,1.0,False
nfw_axisrat_fit,t34,sigma,20.689655172413797,-29.487088952717844,-1.0,1.0,False
nfw_axisrat_fit,t34,skew,20.689655172413797,22.089682824263555,-1.0,1.0,False
nfw_axisrat_fit,t34,kurtosis,20.689655172413797,-29.316162239803838,1.0,1.0,False
nfw_axisrat_fit,d2/d1,mu,20.689655172413797,0.4099258004930952,1.0,1.0,False
nfw_axisrat_fit,d2/d1,sigma,20.689655172413797,-36.46341228874885,-1.0,1.0,False
nfw_axisrat_fit,d2/d1,skew,20.689655172413797,-73.96352421631292,1.0,1.0,False
nfw_axisrat_fit,d2/d1,kurtosis,20.689655172413797,-162.23140090864396,-1.0,1.0,False
nfw_axisrat_fit,d3/d1,mu,20.689655172413797,-0.33356381595100115,-1.0,1.0,False
nfw_axisrat_fit,d3/d1,sigma,20.689655172413797,-4.335265610158132,-1.0,1.0,False
nfw_axisrat_fit,d3/d1,skew,20.689655172413797,-76.68016602407234,1.0,1.0,False
nfw_axisrat_fit,d3/d1,kurtosis,20.689655172413797,-178.49333132602328,-1.0,1.0,False
nfw_axisrat_fit,d4/d1,mu,20.689655172413797,4.756892000887363,1.0,1.0,False
nfw_axisrat_fit,d4/d1,sigma,20.689655172413797,-53.960192851991785,-1.0,1.0,False
nfw_axisrat_fit,d4/d1,skew,20.689655172413797,66.83666266718372,-1.0,1.0,False
nfw_axisrat_fit,d4/d1,kurtosis,20.689655172413797,-48.53690309627023,1.0,1.0,False
nfw_axisrat_fit,dt23,mu,20.689655172413797,-20.49536109014273,-1.0,1.0,False
nfw_axisrat_fit,dt23,sigma,20.689655172413797,-21.810986650678718,-1.0,1.0,False
nfw_axisrat_fit,dt23,skew,20.689655172413797,-7.535312021640367,-1.0,1.0,False
nfw_axisrat_fit,dt23,kurtosis,20.689655172413797,-82.78261285211073,1.0,1.0,False
