gal_param,obs_param,moment,%c_gal,%c_obs,r_val,p_val,flag
nfw_theta,t12,mu,200.0,4.015020490523272,1.0,1.0,False
nfw_theta,t12,sigma,200.0,-18.072031503931655,-1.0,1.0,False
nfw_theta,t12,skew,200.0,2.598590494545906,-1.0,1.0,False
nfw_theta,t12,kurtosis,200.0,67.41914122661444,1.0,1.0,False
nfw_theta,t23,mu,200.0,0.38385674100430867,1.0,1.0,False
nfw_theta,t23,sigma,200.0,-2.9830151152174738,-1.0,1.0,False
nfw_theta,t23,skew,200.0,-16.705515414199102,1.0,1.0,False
nfw_theta,t23,kurtosis,200.0,-7.815625511903648,1.0,1.0,False
nfw_theta,t34,mu,200.0,-3.502267582548816,-1.0,1.0,False
nfw_theta,t34,sigma,200.0,9.348172861027221,1.0,1.0,False
nfw_theta,t34,skew,200.0,-21.31699188297506,1.0,1.0,False
nfw_theta,t34,kurtosis,200.0,-72.26794279398543,-1.0,1.0,False
nfw_theta,d2/d1,mu,200.0,2.876887843196264,1.0,1.0,False
nfw_theta,d2/d1,sigma,200.0,-33.52820223337557,-1.0,1.0,False
nfw_theta,d2/d1,skew,200.0,-128.75284669923676,1.0,1.0,False
nfw_theta,d2/d1,kurtosis,200.0,324.5242625042055,-1.0,1.0,False
nfw_theta,d3/d1,mu,200.0,3.2174709271652024,1.0,1.0,False
nfw_theta,d3/d1,sigma,200.0,-34.96722462813829,-1.0,1.0,False
nfw_theta,d3/d1,skew,200.0,-80.04699006430329,1.0,1.0,False
nfw_theta,d3/d1,kurtosis,200.0,94.63152405420678,-1.0,1.0,False
nfw_theta,d4/d1,mu,200.0,7.206841186864116,1.0,1.0,False
nfw_theta,d4/d1,sigma,200.0,-48.290176374286204,-1.0,1.0,False
nfw_theta,d4/d1,skew,200.0,297.83327400353477,-1.0,1.0,False
nfw_theta,d4/d1,kurtosis,200.0,-90.15553148898246,1.0,1.0,False
nfw_theta,dt23,mu,200.0,31.05270730245427,-1.0,1.0,False
nfw_theta,dt23,sigma,200.0,106.99136579821969,1.0,1.0,False
nfw_theta,dt23,skew,200.0,31.569715004145472,1.0,1.0,False
nfw_theta,dt23,kurtosis,200.0,15.67465436189661,-1.0,1.0,False
