z_bin,z_min,z_max,log_M1,log_M1_err_plus,log_M1_err_minus,log_Mstar0,log_Mstar0_err_plus,log_Mstar0_err_minus,beta,beta_err_plus,beta_err_minus,delta,delta_err_plus,delta_err_minus,gamma,gamma_err_plus,gamma_err_minus,alpha,alpha_err_plus,alpha_err_minus,Bsat,Bsat_err_plus,Bsat_err_minus,beta_sat,beta_sat_err_plus,beta_sat_err_minus,Bcut,Bcut_err_plus,Bcut_err_minus,beta_cut,beta_cut_err_plus,beta_cut_err_minus,sigma_logM,sigma_logM_err_plus,sigma_logM_err_minus,chi2_reduced
0.2 < z < 0.5,0.2,0.5,12.629,0.069,0.072,10.855,0.099,0.216,0.487,0.016,0.016,0.935,0.295,0.335,1.939,2.515,1.058,1.056,0.029,0.03,15.467,0.394,0.753,0.845,0.04,0.04,2.045,1.288,0.974,0.745,0.231,0.251,0.268,0.009,0.08,2.6
0.5 < z < 0.8,0.5,0.8,12.793,0.044,0.043,10.927,0.038,0.041,0.502,0.013,0.013,0.802,0.446,0.407,3.132,1.488,1.143,0.905,0.033,0.038,12.221,1.082,1.206,0.985,0.057,0.052,0.277,0.29,0.168,0.076,0.303,0.386,0.293,0.002,0.019,2.5
0.8 < z < 1.1,0.8,1.1,12.73,0.044,0.039,11.013,0.057,0.032,0.454,0.014,0.014,1.109,0.329,0.455,1.925,1.441,1.014,1.065,0.03,0.03,5.416,0.552,0.507,0.612,0.019,0.018,8.845,1.261,1.02,1.098,0.113,0.095,0.25,0.002,0.032,10.2
1.1 < z < 1.5,1.1,1.5,12.673,0.065,0.085,10.967,0.071,0.076,0.393,0.022,0.026,0.746,0.292,0.189,0.335,0.443,0.235,1.078,0.017,0.017,15.015,0.639,0.821,0.906,0.031,0.038,0.101,0.065,0.046,4.197,0.222,0.463,0.167,0.008,0.077,3.8
1.5 < z < 2.0,1.5,2,12.787,0.067,0.065,11.04,0.163,0.137,0.41,0.015,0.018,0.716,0.48,0.423,1.312,1.431,0.878,1.213,0.027,0.031,14.168,0.981,0.984,0.951,0.063,0.072,0.099,0.168,0.068,1.848,1.667,1.209,0.211,0.012,0.203,6.1
2.0 < z < 2.5,2,2.5,13.097,0.087,0.101,11.254,0.101,0.152,0.495,0.022,0.028,0.668,0.562,0.42,1.077,1.325,0.765,0.793,0.158,0.13,14.156,1.358,2.419,0.751,0.164,0.223,2.501,0.776,0.86,1.968,0.29,0.236,0.05,0.01,0.041,3.8
2.5 < z < 3.0,2.5,3,12.627,0.325,0.38,10.92,0.333,0.44,0.393,0.077,0.089,0.274,0.218,0.13,0.446,0.342,0.295,1.246,0.041,0.098,6.539,0.921,0.862,0.772,0.107,0.093,1.763,0.679,0.528,0.686,0.237,0.248,0.083,0.007,0.057,5.7
3.0 < z < 3.5,3,3.5,12.82,0.972,0.519,11.067,1.124,0.526,0.465,0.138,0.154,0.354,0.988,0.26,0.741,2.066,0.443,1.251,0.037,0.092,2.592,0.425,0.293,0.067,0.109,0.043,13.122,1.195,1.955,2.075,0.181,0.224,0.013,0.001,0.009,4.1
3.5 < z < 4.5,3.5,4.5,13.638,0.303,0.331,12.222,0.533,0.558,0.551,0.038,0.034,1.557,1.187,1.075,3.149,2.279,2.236,0.93,0.253,0.231,9.93,4.068,4.205,1.838,0.694,0.579,7.588,2.985,2.038,1.017,0.415,0.368,0.085,0.008,0.061,3.5
4.5 < z < 5.5,4.5,5.5,13.547,0.378,0.392,12.105,0.605,0.676,0.567,0.066,0.062,1.427,1.262,0.971,3.225,2.248,2.167,1.031,0.194,0.264,2.63,4.383,1.282,3.108,1.816,1.062,7.02,3.104,2.105,-0.621,0.446,0.274,0.226,0.017,0.151,1.9
